location_name,city,website,phone,postal_code,address,province,monday,tuesday,wednesday,thursday,friday,latitude,longitude,Accessible Entrances,Accessible Washrooms,Accessible Parking,Individual Service,Wait Accommodations
Michael Garron Hospital - Emergency Department,Toronto,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,M4C 3E7,825 Coxwell Avenue,ON,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,43.68991,-79.324858,No,No,No,No,Yes
Mount Sinai Hospital,Toronto,https://www.sinaihealth.ca/covid19/,416-586-4800 ext. 4123,M5G 1X5,600 University Avenue,ON,08:00-12:00,08:00-12:00,08:00-12:00,08:00-12:00,08:00-12:00,43.657575,-79.390096,Yes,Yes,Yes,No,Yes
North York General Hospital - Branson,Toronto,https://nygh.on.ca/patients-and-visitors/covid-19-updates/assessment-centres,416-756-6000,M2R 1N5,555 Finch Avenue West,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,43.772477,-79.448125,Yes,Partial: there is a wheelchair-accessible washroom in the asymptomatic testing area,Yes,"No ASL interpretation, yes assassistance navigating the centre",Yes
North York General Hospital - Emergency Department,Toronto,,,M2K 1E1,"4001 Leslie Street, Ambulance Bay",ON,,,,,,43.769147,-79.362744,No,Yes,Yes,Yes,Yes
Scarborough Health Network - Birchmount,Scarborough,https://www.shn.ca/covid19-assess/,416-495-2601,M1W 3W3,3030 Birchmount Road,ON,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,43.801819,-79.309055,No,No,No,No,Yes
Scarborough Health Network Centenary Site,Scarborough,https://www.shn.ca/covid19-assess/,416-495-2601,M1E 4B9,2867 Ellesmere Road,ON,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,43.780444,-79.20456,No,No,Yes,Yes,Yes
Sunnybrook Health Sciences Centre,Toronto,https://sunnybrook.ca/content/?page=novel-coronavirus-covid-19-assessment-centre,,M4N 1J8,80 Armistice Drive,ON,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,43.7248677791177,-79.3736969375319,Yes,Yes,Yes,Yes,Yes
Toronto Western Hospital,Toronto,https://twfht.ca/displayPage.php?page=COVID19Assessment,,M5T 2S7,347 Bathurst Street,ON,07:30-15:30,07:30-15:30,07:30-15:30,07:30-15:30,07:30-15:30,43.652594,-79.405856,Yes,Yes,"Not on site, but we are right beside TWH, where there is accessible parking.  There is also a drop off circle driveway within 50 feet of the entrance.",No,"the TWH CAC is currently operated on a first come, first serve basis. There is often a line, which can be up to one hour. We do not offer accommodated access outside of the queue. If someone is unable to wait in line, they are to speak to the security guard, who will arrange to hold the next place in line, and the person can wait at the benches or elsewhere."
St. Joseph's Health Centre,Toronto,https://unityhealth.to/assessment-centres/,416-530-6720,M6R 1B5,30 The Queensway,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,43.640709,-79.450139,No,No,No,Yes,No
Milton District Hospital,Milton,https://www.haltonhealthcare.on.ca/,905-203-7963,L9T 9K1,725 Bronte Street South,ON,,,08:00-16:00,,,43.497418,-79.868476,Yes,Yes,No,Yes,No
